class_name,total_confusions
pancakes,259
pad_thai,252
spaghetti_bolognese,241
ramen,209
fried_calamari,208
prime_rib,198
ceviche,176
filet_mignon,162
french_toast,161
lasagna,161
eggs_benedict,151
beet_salad,148
spaghetti_carbonara,144
hamburger,134
french_onion_soup,131
ravioli,130
peking_duck,125
grilled_salmon,121
greek_salad,111
scallops,111
sushi,110
hummus,109
club_sandwich,108
huevos_rancheros,107
escargots,106
waffles,105
croque_madame,104
caprese_salad,102
chicken_curry,99
lobster_roll_sandwich,99
pulled_pork_sandwich,98
chicken_wings,98
baby_back_ribs,95
fish_and_chips,89
macaroni_and_cheese,89
carrot_cake,89
hot_and_sour_soup,88
sashimi,87
onion_rings,87
cannoli,86
deviled_eggs,84
tiramisu,83
poutine,83
beef_tartare,82
edamame,81
french_fries,81
chocolate_cake,80
cheese_plate,80
garlic_bread,80
bibimbap,79
dumplings,79
ice_cream,78
pork_chop,77
nachos,77
bruschetta,74
tacos,74
steak,74
miso_soup,74
lobster_bisque,74
beef_carpaccio,73
guacamole,72
gyoza,71
chocolate_mousse,71
pizza,71
caesar_salad,70
grilled_cheese_sandwich,69
shrimp_and_grits,68
cup_cakes,68
beignets,67
macarons,67
risotto,66
clam_chowder,65
tuna_tartare,65
omelette,64
fried_rice,64
paella,64
falafel,64
mussels,63
red_velvet_cake,63
breakfast_burrito,61
bread_pudding,59
crab_cakes,59
gnocchi,59
spring_rolls,59
strawberry_shortcake,58
frozen_yogurt,58
pho,57
churros,55
takoyaki,55
foie_gras,55
panna_cotta,55
chicken_quesadilla,54
cheesecake,53
hot_dog,53
apple_pie,53
creme_brulee,48
donuts,47
oysters,46
baklava,46
samosa,42
seaweed_salad,31
