class_name,total_confusions
spaghetti_bolognese,279
french_onion_soup,238
fried_calamari,193
miso_soup,172
poutine,169
spaghetti_carbonara,167
onion_rings,163
edamame,156
waffles,155
club_sandwich,148
pad_thai,148
french_fries,147
lobster_bisque,146
hamburger,138
lasagna,138
macarons,132
clam_chowder,126
hot_and_sour_soup,124
filet_mignon,123
macaroni_and_cheese,123
creme_brulee,122
beet_salad,111
tiramisu,111
ramen,107
strawberry_shortcake,105
dumplings,104
escargots,103
pancakes,98
beignets,98
garlic_bread,97
lobster_roll_sandwich,95
grilled_salmon,95
seaweed_salad,92
scallops,91
panna_cotta,90
bruschetta,88
chicken_curry,88
greek_salad,85
carrot_cake,85
tacos,84
pizza,84
prime_rib,83
cannoli,82
baby_back_ribs,82
ravioli,82
eggs_benedict,82
hummus,82
croque_madame,82
cup_cakes,82
gnocchi,81
nachos,81
huevos_rancheros,80
apple_pie,79
sashimi,79
beef_tartare,79
chocolate_mousse,78
fish_and_chips,77
caprese_salad,77
fried_rice,77
churros,76
red_velvet_cake,74
risotto,74
paella,74
steak,72
chocolate_cake,71
bread_pudding,71
guacamole,71
grilled_cheese_sandwich,70
oysters,70
french_toast,69
bibimbap,69
gyoza,69
mussels,66
cheesecake,65
spring_rolls,64
deviled_eggs,64
frozen_yogurt,64
beef_carpaccio,63
breakfast_burrito,62
shrimp_and_grits,62
ice_cream,61
caesar_salad,61
baklava,59
tuna_tartare,58
pulled_pork_sandwich,57
falafel,56
pho,53
foie_gras,53
peking_duck,53
ceviche,52
pork_chop,52
takoyaki,52
donuts,50
sushi,49
hot_dog,49
crab_cakes,47
omelette,44
cheese_plate,43
samosa,41
chicken_wings,40
chicken_quesadilla,35
