class_name,total_confusions
baby_back_ribs,275
beef_carpaccio,247
carrot_cake,177
ravioli,176
red_velvet_cake,168
gnocchi,161
tiramisu,159
chocolate_cake,157
scallops,153
tacos,131
poutine,127
beet_salad,125
shrimp_and_grits,122
bibimbap,117
caesar_salad,115
frozen_yogurt,115
pulled_pork_sandwich,114
strawberry_shortcake,112
onion_rings,111
fried_calamari,109
macarons,109
cup_cakes,108
chocolate_mousse,105
filet_mignon,103
french_onion_soup,101
lasagna,101
beignets,100
clam_chowder,100
club_sandwich,96
mussels,96
spaghetti_carbonara,96
fish_and_chips,95
waffles,95
french_fries,93
garlic_bread,91
lobster_roll_sandwich,91
hummus,89
escargots,88
pizza,88
seaweed_salad,87
pho,87
grilled_salmon,87
spaghetti_bolognese,87
hamburger,87
oysters,86
ramen,86
caprese_salad,84
nachos,84
greek_salad,83
lobster_bisque,82
donuts,78
steak,77
pad_thai,76
panna_cotta,76
chicken_curry,74
sushi,72
spring_rolls,71
hot_and_sour_soup,70
miso_soup,70
hot_dog,70
chicken_wings,69
fried_rice,69
macaroni_and_cheese,69
grilled_cheese_sandwich,69
gyoza,66
pork_chop,65
beef_tartare,64
guacamole,64
creme_brulee,63
sashimi,62
cheesecake,61
tuna_tartare,61
foie_gras,61
pancakes,61
french_toast,61
paella,60
huevos_rancheros,60
dumplings,60
breakfast_burrito,59
bruschetta,57
risotto,55
bread_pudding,55
chicken_quesadilla,54
eggs_benedict,54
churros,53
apple_pie,50
cheese_plate,49
deviled_eggs,48
falafel,47
ice_cream,46
edamame,44
takoyaki,43
baklava,42
prime_rib,41
croque_madame,38
omelette,38
peking_duck,36
ceviche,33
samosa,30
crab_cakes,30
cannoli,25
